datacenter_location,router_name,interface_ip,link_type,latency_ms,bandwidth_gbps,vulnerability_score,node_status,last_security_scan
Singapore (South-Asia),SINGAPORE_Border_Gateway_02,172.17.252.138,Inter-DC Transit,20,100,0.31,Operational / Patch Compliant,2026-06-14T15:36:44Z
Germany (Frankfurt-Central),GERMANY_Distribution_Layer_03,172.31.12.42,Edge Distribution,16,10,0.07,Operational / Patch Compliant,2026-06-07T10:36:44Z
Germany (Frankfurt-Central),GERMANY_Edge_Aggregation_04,10.188.196.17,Edge Distribution,14,40,0.2,Operational / Patch Compliant,2026-06-12T20:51:44Z
Singapore (South-Asia),SINGAPORE_Distribution_Layer_03,172.27.37.192,Edge Distribution,16,10,0.14,Operational / Patch Compliant,2026-06-09T20:24:44Z
Germany (Frankfurt-Central),GERMANY_Distribution_Layer_01,10.102.156.208,Edge Distribution,20,40,0.74,Critical Exposure,2026-06-14T14:30:44Z
Iceland (Reykjavik-HQ),ICELAND_Distribution_Layer_05,172.20.172.93,Edge Distribution,18,10,0.14,Operational / Patch Compliant,2026-06-07T15:48:44Z
Germany (Frankfurt-Central),GERMANY_Edge_Aggregation_01,10.62.9.15,Edge Distribution,8,40,0.68,Mitigation Required,2026-06-13T13:53:44Z
Ireland (Dublin-East),IRELAND_Core_Backbone_03,172.24.206.84,Backbone Trunk,2,200,0.43,Operational / Patch Compliant,2026-06-08T18:45:44Z
US (Virginia-East),US_Distribution_Layer_02,10.17.184.149,Edge Distribution,6,10,0.17,Operational / Patch Compliant,2026-06-12T05:55:44Z
US (Virginia-East),US_Edge_Aggregation_05,10.75.166.114,Edge Distribution,17,40,0.35,Operational / Patch Compliant,2026-06-08T19:18:44Z
Singapore (South-Asia),SINGAPORE_Border_Gateway_01,10.213.66.23,Inter-DC Transit,13,40,0.04,Operational / Patch Compliant,2026-06-07T16:39:44Z
Singapore (South-Asia),SINGAPORE_Distribution_Layer_03,10.181.36.216,Edge Distribution,12,10,0.41,Operational / Patch Compliant,2026-06-12T21:17:44Z
Ireland (Dublin-East),IRELAND_Border_Gateway_03,172.31.222.156,Inter-DC Transit,12,100,0.11,Operational / Patch Compliant,2026-06-11T11:20:44Z
Iceland (Reykjavik-HQ),ICELAND_Distribution_Layer_01,172.23.245.88,Edge Distribution,22,10,0.1,Operational / Patch Compliant,2026-06-08T21:45:44Z
Singapore (South-Asia),SINGAPORE_Border_Gateway_05,172.25.45.55,Inter-DC Transit,23,100,0.27,Operational / Patch Compliant,2026-06-07T14:57:44Z
US (Virginia-East),US_Distribution_Layer_05,10.210.185.54,Edge Distribution,9,10,0.31,Operational / Patch Compliant,2026-06-14T15:38:44Z
Ireland (Dublin-East),IRELAND_Edge_Aggregation_02,10.52.8.198,Edge Distribution,10,40,0.03,Operational / Patch Compliant,2026-06-09T17:44:44Z
US (Virginia-East),US_Distribution_Layer_04,172.17.253.229,Edge Distribution,12,10,0.94,Critical Exposure,2026-06-11T04:52:44Z
Singapore (South-Asia),SINGAPORE_Border_Gateway_01,10.39.15.40,Inter-DC Transit,28,100,0.18,Operational / Patch Compliant,2026-06-10T05:01:44Z
Germany (Frankfurt-Central),GERMANY_Border_Gateway_02,172.16.74.17,Inter-DC Transit,31,40,0.06,Operational / Patch Compliant,2026-06-07T13:06:44Z
Japan (Tokyo-North),JAPAN_Edge_Aggregation_05,172.21.19.160,Edge Distribution,19,40,0.3,Operational / Patch Compliant,2026-06-11T18:46:44Z
Japan (Tokyo-North),JAPAN_Distribution_Layer_02,172.30.196.85,Edge Distribution,17,40,0.17,Operational / Patch Compliant,2026-06-07T14:46:44Z
Ireland (Dublin-East),IRELAND_Distribution_Layer_04,10.95.175.159,Edge Distribution,20,10,0.15,Operational / Patch Compliant,2026-06-15T04:04:44Z
Japan (Tokyo-North),JAPAN_Edge_Aggregation_02,172.18.123.120,Edge Distribution,12,10,0.17,Operational / Patch Compliant,2026-06-13T11:25:44Z
Japan (Tokyo-North),JAPAN_Edge_Aggregation_03,10.218.22.221,Edge Distribution,9,10,0.3,Operational / Patch Compliant,2026-06-12T18:45:44Z
Iceland (Reykjavik-HQ),ICELAND_Distribution_Layer_02,172.29.248.184,Edge Distribution,11,40,0.27,Operational / Patch Compliant,2026-06-08T05:12:44Z
Japan (Tokyo-North),JAPAN_Core_Backbone_04,172.31.44.141,Backbone Trunk,8,400,0.23,Operational / Patch Compliant,2026-06-10T15:51:44Z
US (Virginia-East),US_Core_Backbone_03,10.134.40.100,Backbone Trunk,8,200,0.24,Operational / Patch Compliant,2026-06-11T18:00:44Z
Germany (Frankfurt-Central),GERMANY_Distribution_Layer_02,10.178.31.48,Edge Distribution,7,40,0.32,Operational / Patch Compliant,2026-06-13T22:57:44Z
Germany (Frankfurt-Central),GERMANY_Distribution_Layer_01,10.19.74.95,Edge Distribution,7,40,0.33,Operational / Patch Compliant,2026-06-08T01:25:44Z
Singapore (South-Asia),SINGAPORE_Border_Gateway_03,172.28.215.221,Inter-DC Transit,35,40,0.89,Critical Exposure,2026-06-12T10:37:44Z
Ireland (Dublin-East),IRELAND_Distribution_Layer_04,10.138.29.148,Edge Distribution,10,10,0.45,Operational / Patch Compliant,2026-06-12T14:49:44Z
Germany (Frankfurt-Central),GERMANY_Border_Gateway_03,10.247.201.17,Inter-DC Transit,34,100,0.18,Operational / Patch Compliant,2026-06-08T22:46:44Z
Singapore (South-Asia),SINGAPORE_Core_Backbone_04,10.46.99.7,Backbone Trunk,6,100,0.2,Operational / Patch Compliant,2026-06-08T00:50:44Z
Japan (Tokyo-North),JAPAN_Border_Gateway_04,172.25.210.83,Inter-DC Transit,24,40,0.1,Operational / Patch Compliant,2026-06-08T18:11:44Z
US (Virginia-East),US_Distribution_Layer_04,172.17.51.192,Edge Distribution,19,10,0.6,Mitigation Required,2026-06-11T18:45:44Z
Singapore (South-Asia),SINGAPORE_Distribution_Layer_02,10.197.217.138,Edge Distribution,19,10,0.05,Operational / Patch Compliant,2026-06-07T13:13:44Z
Japan (Tokyo-North),JAPAN_Edge_Aggregation_02,10.177.75.63,Edge Distribution,11,10,0.17,Operational / Patch Compliant,2026-06-07T17:26:44Z
US (Virginia-East),US_Core_Backbone_02,172.24.103.117,Backbone Trunk,1,100,0.06,Operational / Patch Compliant,2026-06-11T10:24:44Z
Japan (Tokyo-North),JAPAN_Edge_Aggregation_01,172.29.166.106,Edge Distribution,13,10,0.36,Operational / Patch Compliant,2026-06-14T22:22:44Z
US (Virginia-East),US_Border_Gateway_03,10.48.228.216,Inter-DC Transit,32,100,0.05,Operational / Patch Compliant,2026-06-15T03:31:44Z
Ireland (Dublin-East),IRELAND_Core_Backbone_04,10.134.34.68,Backbone Trunk,2,200,0.35,Operational / Patch Compliant,2026-06-10T05:08:44Z
US (Virginia-East),US_Border_Gateway_01,10.136.179.74,Inter-DC Transit,21,100,0.1,Operational / Patch Compliant,2026-06-13T02:42:44Z
Japan (Tokyo-North),JAPAN_Edge_Aggregation_05,172.17.109.76,Edge Distribution,11,10,0.9,Critical Exposure,2026-06-11T22:50:44Z
US (Virginia-East),US_Border_Gateway_05,10.69.255.17,Inter-DC Transit,13,40,0.06,Operational / Patch Compliant,2026-06-07T16:23:44Z
Ireland (Dublin-East),IRELAND_Edge_Aggregation_04,10.78.47.26,Edge Distribution,14,40,0.33,Operational / Patch Compliant,2026-06-12T05:51:44Z
Japan (Tokyo-North),JAPAN_Edge_Aggregation_04,172.30.23.241,Edge Distribution,7,40,0.2,Operational / Patch Compliant,2026-06-08T08:41:44Z
US (Virginia-East),US_Border_Gateway_04,172.16.69.4,Inter-DC Transit,19,40,0.37,Operational / Patch Compliant,2026-06-11T09:43:44Z
Singapore (South-Asia),SINGAPORE_Core_Backbone_01,172.22.184.169,Backbone Trunk,8,100,0.07,Operational / Patch Compliant,2026-06-13T01:41:44Z
Germany (Frankfurt-Central),GERMANY_Edge_Aggregation_04,10.78.219.254,Edge Distribution,12,40,0.23,Operational / Patch Compliant,2026-06-11T12:32:44Z
Japan (Tokyo-North),JAPAN_Edge_Aggregation_04,10.179.103.41,Edge Distribution,11,40,0.38,Operational / Patch Compliant,2026-06-12T11:35:44Z
Iceland (Reykjavik-HQ),ICELAND_Edge_Aggregation_01,10.25.181.149,Edge Distribution,19,40,0.2,Operational / Patch Compliant,2026-06-10T13:55:44Z
Ireland (Dublin-East),IRELAND_Edge_Aggregation_05,10.40.65.81,Edge Distribution,11,10,0.23,Operational / Patch Compliant,2026-06-12T19:20:44Z
Germany (Frankfurt-Central),GERMANY_Distribution_Layer_02,10.227.27.155,Edge Distribution,6,40,0.45,Operational / Patch Compliant,2026-06-09T13:51:44Z
Iceland (Reykjavik-HQ),ICELAND_Edge_Aggregation_03,10.252.215.52,Edge Distribution,16,10,0.05,Operational / Patch Compliant,2026-06-13T22:57:44Z
Japan (Tokyo-North),JAPAN_Edge_Aggregation_04,10.107.114.137,Edge Distribution,11,40,0.18,Operational / Patch Compliant,2026-06-10T22:51:44Z
Germany (Frankfurt-Central),GERMANY_Distribution_Layer_03,10.143.96.161,Edge Distribution,18,10,0.81,Critical Exposure,2026-06-14T14:30:44Z
Japan (Tokyo-North),JAPAN_Core_Backbone_02,172.30.64.79,Backbone Trunk,4,100,0.36,Operational / Patch Compliant,2026-06-08T06:37:44Z
Japan (Tokyo-North),JAPAN_Border_Gateway_03,10.33.55.135,Inter-DC Transit,25,100,0.2,Operational / Patch Compliant,2026-06-12T20:38:44Z
Iceland (Reykjavik-HQ),ICELAND_Core_Backbone_01,172.19.156.235,Backbone Trunk,6,400,0.27,Operational / Patch Compliant,2026-06-15T01:24:44Z
Iceland (Reykjavik-HQ),ICELAND_Edge_Aggregation_01,172.20.156.252,Edge Distribution,17,40,0.28,Operational / Patch Compliant,2026-06-08T01:51:44Z
Singapore (South-Asia),SINGAPORE_Distribution_Layer_05,172.23.178.220,Edge Distribution,22,10,0.23,Operational / Patch Compliant,2026-06-10T14:30:44Z
Singapore (South-Asia),SINGAPORE_Core_Backbone_01,10.235.90.108,Backbone Trunk,7,200,0.25,Operational / Patch Compliant,2026-06-11T15:51:44Z
Japan (Tokyo-North),JAPAN_Distribution_Layer_04,172.24.201.116,Edge Distribution,21,40,0.34,Operational / Patch Compliant,2026-06-11T02:57:44Z
Singapore (South-Asia),SINGAPORE_Core_Backbone_05,172.19.54.121,Backbone Trunk,8,400,0.65,Mitigation Required,2026-06-08T01:40:44Z
Singapore (South-Asia),SINGAPORE_Border_Gateway_02,172.25.76.76,Inter-DC Transit,16,100,0.42,Operational / Patch Compliant,2026-06-11T14:48:44Z
Germany (Frankfurt-Central),GERMANY_Edge_Aggregation_04,172.25.82.18,Edge Distribution,15,10,0.07,Operational / Patch Compliant,2026-06-07T14:21:44Z
US (Virginia-East),US_Distribution_Layer_05,172.17.196.20,Edge Distribution,21,10,0.1,Operational / Patch Compliant,2026-06-15T09:24:44Z
Japan (Tokyo-North),JAPAN_Core_Backbone_02,172.28.163.154,Backbone Trunk,1,200,0.01,Operational / Patch Compliant,2026-06-11T09:04:44Z
Germany (Frankfurt-Central),GERMANY_Core_Backbone_04,172.23.94.123,Backbone Trunk,1,100,0.75,Critical Exposure,2026-06-14T21:07:44Z
Iceland (Reykjavik-HQ),ICELAND_Distribution_Layer_04,172.26.244.126,Edge Distribution,16,40,0.38,Operational / Patch Compliant,2026-06-09T23:53:44Z
Ireland (Dublin-East),IRELAND_Edge_Aggregation_04,172.17.134.252,Edge Distribution,19,10,0.15,Operational / Patch Compliant,2026-06-09T04:22:44Z
Germany (Frankfurt-Central),GERMANY_Edge_Aggregation_04,172.20.90.53,Edge Distribution,21,40,0.3,Operational / Patch Compliant,2026-06-12T23:00:44Z
Japan (Tokyo-North),JAPAN_Border_Gateway_02,172.16.249.52,Inter-DC Transit,27,100,0.07,Operational / Patch Compliant,2026-06-10T16:13:44Z
US (Virginia-East),US_Edge_Aggregation_02,172.25.16.205,Edge Distribution,21,10,0.08,Operational / Patch Compliant,2026-06-15T00:25:44Z
Iceland (Reykjavik-HQ),ICELAND_Edge_Aggregation_02,10.188.52.46,Edge Distribution,18,10,0.12,Operational / Patch Compliant,2026-06-10T17:40:44Z
Singapore (South-Asia),SINGAPORE_Edge_Aggregation_01,10.206.162.116,Edge Distribution,10,40,0.4,Operational / Patch Compliant,2026-06-08T14:27:44Z
Japan (Tokyo-North),JAPAN_Distribution_Layer_03,172.29.2.172,Edge Distribution,15,40,0.27,Operational / Patch Compliant,2026-06-09T19:20:44Z
Iceland (Reykjavik-HQ),ICELAND_Border_Gateway_01,10.91.129.191,Inter-DC Transit,34,40,0.35,Operational / Patch Compliant,2026-06-09T10:47:44Z
Singapore (South-Asia),SINGAPORE_Edge_Aggregation_05,10.94.156.176,Edge Distribution,6,10,0.15,Operational / Patch Compliant,2026-06-11T22:32:44Z
Germany (Frankfurt-Central),GERMANY_Core_Backbone_03,172.22.110.125,Backbone Trunk,5,100,0.22,Operational / Patch Compliant,2026-06-09T11:14:44Z
Iceland (Reykjavik-HQ),ICELAND_Distribution_Layer_02,10.9.236.24,Edge Distribution,16,40,0.44,Operational / Patch Compliant,2026-06-07T22:44:44Z
Ireland (Dublin-East),IRELAND_Distribution_Layer_01,10.61.63.25,Edge Distribution,18,40,0.98,Critical Exposure,2026-06-14T18:36:44Z
Ireland (Dublin-East),IRELAND_Edge_Aggregation_03,172.28.215.85,Edge Distribution,18,10,0.28,Operational / Patch Compliant,2026-06-09T18:40:44Z
Ireland (Dublin-East),IRELAND_Core_Backbone_03,172.30.202.85,Backbone Trunk,3,400,0.09,Operational / Patch Compliant,2026-06-08T13:37:44Z
Singapore (South-Asia),SINGAPORE_Edge_Aggregation_01,10.7.46.69,Edge Distribution,12,10,0.09,Operational / Patch Compliant,2026-06-08T23:58:44Z
Germany (Frankfurt-Central),GERMANY_Border_Gateway_02,172.19.192.237,Inter-DC Transit,12,40,0.03,Operational / Patch Compliant,2026-06-08T00:52:44Z
Iceland (Reykjavik-HQ),ICELAND_Distribution_Layer_04,172.16.113.26,Edge Distribution,6,40,0.3,Operational / Patch Compliant,2026-06-12T08:17:44Z
Iceland (Reykjavik-HQ),ICELAND_Edge_Aggregation_01,172.24.66.25,Edge Distribution,6,40,0.04,Operational / Patch Compliant,2026-06-10T07:44:44Z
Germany (Frankfurt-Central),GERMANY_Core_Backbone_05,10.136.0.181,Backbone Trunk,2,400,0.33,Operational / Patch Compliant,2026-06-09T03:23:44Z
Ireland (Dublin-East),IRELAND_Edge_Aggregation_05,10.32.154.49,Edge Distribution,19,10,0.05,Operational / Patch Compliant,2026-06-14T07:54:44Z
Germany (Frankfurt-Central),GERMANY_Edge_Aggregation_02,172.22.24.108,Edge Distribution,8,40,0.22,Operational / Patch Compliant,2026-06-14T21:52:44Z
Ireland (Dublin-East),IRELAND_Distribution_Layer_02,10.141.97.73,Edge Distribution,13,40,0.01,Operational / Patch Compliant,2026-06-07T15:48:44Z
Germany (Frankfurt-Central),GERMANY_Border_Gateway_04,10.154.61.152,Inter-DC Transit,14,100,0.58,Mitigation Required,2026-06-08T11:04:44Z
Iceland (Reykjavik-HQ),ICELAND_Border_Gateway_05,172.19.34.66,Inter-DC Transit,27,40,0.02,Operational / Patch Compliant,2026-06-14T15:35:44Z
Iceland (Reykjavik-HQ),ICELAND_Core_Backbone_02,10.20.64.27,Backbone Trunk,1,200,0.96,Critical Exposure,2026-06-13T20:21:44Z
Japan (Tokyo-North),JAPAN_Distribution_Layer_05,10.227.53.143,Edge Distribution,5,40,0.25,Operational / Patch Compliant,2026-06-14T19:36:44Z
US (Virginia-East),US_Core_Backbone_01,172.16.43.211,Backbone Trunk,3,100,0.29,Operational / Patch Compliant,2026-06-11T19:13:44Z
Ireland (Dublin-East),IRELAND_Core_Backbone_03,172.20.0.165,Backbone Trunk,7,200,0.23,Operational / Patch Compliant,2026-06-11T03:27:44Z
US (Virginia-East),US_Edge_Aggregation_02,10.83.86.244,Edge Distribution,21,10,0.39,Operational / Patch Compliant,2026-06-11T10:24:44Z
Iceland (Reykjavik-HQ),ICELAND_Distribution_Layer_04,172.28.10.178,Edge Distribution,17,40,0.27,Operational / Patch Compliant,2026-06-09T10:44:44Z
Japan (Tokyo-North),JAPAN_Core_Backbone_03,10.40.90.130,Backbone Trunk,1,100,0.13,Operational / Patch Compliant,2026-06-12T14:59:44Z
Germany (Frankfurt-Central),GERMANY_Edge_Aggregation_02,172.25.46.191,Edge Distribution,14,40,0.13,Operational / Patch Compliant,2026-06-14T17:44:44Z
Germany (Frankfurt-Central),GERMANY_Edge_Aggregation_02,10.54.120.109,Edge Distribution,11,40,0.1,Operational / Patch Compliant,2026-06-11T21:44:44Z
Japan (Tokyo-North),JAPAN_Border_Gateway_04,172.22.178.203,Inter-DC Transit,16,100,0.13,Operational / Patch Compliant,2026-06-09T16:23:44Z
US (Virginia-East),US_Distribution_Layer_04,10.16.211.105,Edge Distribution,13,10,0.43,Operational / Patch Compliant,2026-06-10T14:51:44Z
Singapore (South-Asia),SINGAPORE_Distribution_Layer_05,172.30.159.198,Edge Distribution,22,40,0.11,Operational / Patch Compliant,2026-06-09T11:20:44Z
Germany (Frankfurt-Central),GERMANY_Distribution_Layer_05,10.30.97.138,Edge Distribution,19,40,0.26,Operational / Patch Compliant,2026-06-08T21:15:44Z
Singapore (South-Asia),SINGAPORE_Distribution_Layer_05,10.201.191.146,Edge Distribution,5,10,0.82,Critical Exposure,2026-06-11T13:07:44Z
Singapore (South-Asia),SINGAPORE_Border_Gateway_03,172.27.29.137,Inter-DC Transit,15,40,0.25,Operational / Patch Compliant,2026-06-11T10:43:44Z
Ireland (Dublin-East),IRELAND_Edge_Aggregation_02,10.252.235.61,Edge Distribution,17,40,0.15,Operational / Patch Compliant,2026-06-12T23:33:44Z
Iceland (Reykjavik-HQ),ICELAND_Border_Gateway_05,172.31.116.149,Inter-DC Transit,14,100,0.43,Operational / Patch Compliant,2026-06-09T11:53:44Z
US (Virginia-East),US_Edge_Aggregation_01,10.110.133.251,Edge Distribution,13,10,0.44,Operational / Patch Compliant,2026-06-07T11:25:44Z
Iceland (Reykjavik-HQ),ICELAND_Edge_Aggregation_05,172.25.37.103,Edge Distribution,17,10,0.38,Operational / Patch Compliant,2026-06-15T04:56:44Z
US (Virginia-East),US_Border_Gateway_01,10.230.10.151,Inter-DC Transit,28,100,0.23,Operational / Patch Compliant,2026-06-11T22:18:44Z
Germany (Frankfurt-Central),GERMANY_Distribution_Layer_01,172.22.249.57,Edge Distribution,8,40,0.41,Operational / Patch Compliant,2026-06-13T14:03:44Z
Germany (Frankfurt-Central),GERMANY_Core_Backbone_02,172.24.216.246,Backbone Trunk,2,100,0.07,Operational / Patch Compliant,2026-06-13T08:12:44Z
Iceland (Reykjavik-HQ),ICELAND_Distribution_Layer_02,10.154.147.15,Edge Distribution,22,40,0.26,Operational / Patch Compliant,2026-06-09T02:02:44Z
US (Virginia-East),US_Border_Gateway_03,172.18.160.37,Inter-DC Transit,30,100,0.05,Operational / Patch Compliant,2026-06-15T00:53:44Z
Japan (Tokyo-North),JAPAN_Distribution_Layer_03,172.30.172.164,Edge Distribution,9,40,0.24,Operational / Patch Compliant,2026-06-12T01:30:44Z
Ireland (Dublin-East),IRELAND_Distribution_Layer_01,172.22.196.43,Edge Distribution,18,10,0.44,Operational / Patch Compliant,2026-06-15T05:33:44Z
Ireland (Dublin-East),IRELAND_Distribution_Layer_01,172.26.1.227,Edge Distribution,12,10,0.79,Critical Exposure,2026-06-14T04:13:44Z
Singapore (South-Asia),SINGAPORE_Core_Backbone_05,10.133.41.173,Backbone Trunk,3,100,0.69,Mitigation Required,2026-06-14T19:21:44Z
Japan (Tokyo-North),JAPAN_Edge_Aggregation_02,10.102.112.116,Edge Distribution,11,40,0.07,Operational / Patch Compliant,2026-06-08T15:09:44Z
Ireland (Dublin-East),IRELAND_Border_Gateway_01,172.30.231.182,Inter-DC Transit,28,40,0.14,Operational / Patch Compliant,2026-06-07T11:46:44Z
Germany (Frankfurt-Central),GERMANY_Edge_Aggregation_01,172.19.217.212,Edge Distribution,5,10,0.02,Operational / Patch Compliant,2026-06-09T18:58:44Z
Singapore (South-Asia),SINGAPORE_Core_Backbone_05,10.138.221.123,Backbone Trunk,2,100,0.31,Operational / Patch Compliant,2026-06-09T01:00:44Z
US (Virginia-East),US_Distribution_Layer_03,172.22.212.137,Edge Distribution,20,10,0.44,Operational / Patch Compliant,2026-06-14T07:51:44Z
US (Virginia-East),US_Distribution_Layer_02,172.19.187.177,Edge Distribution,8,10,0.45,Operational / Patch Compliant,2026-06-09T13:38:44Z
Japan (Tokyo-North),JAPAN_Edge_Aggregation_05,172.26.127.172,Edge Distribution,7,10,0.11,Operational / Patch Compliant,2026-06-11T11:49:44Z
US (Virginia-East),US_Border_Gateway_02,10.26.67.115,Inter-DC Transit,27,100,0.34,Operational / Patch Compliant,2026-06-08T17:45:44Z
Singapore (South-Asia),SINGAPORE_Border_Gateway_05,172.27.103.180,Inter-DC Transit,20,100,0.16,Operational / Patch Compliant,2026-06-14T18:14:44Z
Ireland (Dublin-East),IRELAND_Core_Backbone_05,10.80.121.104,Backbone Trunk,1,200,0.19,Operational / Patch Compliant,2026-06-12T11:22:44Z
Ireland (Dublin-East),IRELAND_Border_Gateway_05,172.19.105.208,Inter-DC Transit,15,40,0.33,Operational / Patch Compliant,2026-06-13T16:53:44Z
US (Virginia-East),US_Edge_Aggregation_01,172.20.219.245,Edge Distribution,10,40,0.96,Critical Exposure,2026-06-12T11:06:44Z
Germany (Frankfurt-Central),GERMANY_Edge_Aggregation_02,10.73.89.150,Edge Distribution,18,40,0.33,Operational / Patch Compliant,2026-06-08T09:02:44Z
Germany (Frankfurt-Central),GERMANY_Core_Backbone_05,172.23.185.217,Backbone Trunk,5,100,0.43,Operational / Patch Compliant,2026-06-13T03:17:44Z
US (Virginia-East),US_Edge_Aggregation_05,172.17.15.27,Edge Distribution,6,10,0.43,Operational / Patch Compliant,2026-06-14T21:23:44Z
Ireland (Dublin-East),IRELAND_Edge_Aggregation_05,10.159.140.106,Edge Distribution,10,10,0.15,Operational / Patch Compliant,2026-06-10T04:57:44Z
Germany (Frankfurt-Central),GERMANY_Core_Backbone_02,10.240.212.140,Backbone Trunk,2,400,0.18,Operational / Patch Compliant,2026-06-12T11:10:44Z
Ireland (Dublin-East),IRELAND_Border_Gateway_03,172.21.225.53,Inter-DC Transit,25,100,0.28,Operational / Patch Compliant,2026-06-08T12:37:44Z
Iceland (Reykjavik-HQ),ICELAND_Core_Backbone_03,10.19.196.151,Backbone Trunk,7,100,0.4,Operational / Patch Compliant,2026-06-07T21:30:44Z
Singapore (South-Asia),SINGAPORE_Distribution_Layer_05,10.148.41.61,Edge Distribution,19,10,0.17,Operational / Patch Compliant,2026-06-14T04:41:44Z
Iceland (Reykjavik-HQ),ICELAND_Edge_Aggregation_04,10.197.27.134,Edge Distribution,11,40,0.17,Operational / Patch Compliant,2026-06-08T17:43:44Z
Japan (Tokyo-North),JAPAN_Core_Backbone_03,172.22.130.247,Backbone Trunk,2,200,0.17,Operational / Patch Compliant,2026-06-10T15:51:44Z
Germany (Frankfurt-Central),GERMANY_Edge_Aggregation_05,172.20.78.204,Edge Distribution,6,10,0.4,Operational / Patch Compliant,2026-06-09T21:48:44Z
Japan (Tokyo-North),JAPAN_Core_Backbone_02,10.216.54.209,Backbone Trunk,1,400,0.03,Operational / Patch Compliant,2026-06-09T01:59:44Z
Ireland (Dublin-East),IRELAND_Border_Gateway_03,10.11.94.185,Inter-DC Transit,34,40,0.86,Critical Exposure,2026-06-07T10:44:44Z
US (Virginia-East),US_Edge_Aggregation_05,172.24.128.104,Edge Distribution,13,40,0.03,Operational / Patch Compliant,2026-06-12T16:27:44Z
Singapore (South-Asia),SINGAPORE_Border_Gateway_02,172.16.82.54,Inter-DC Transit,25,100,0.37,Operational / Patch Compliant,2026-06-12T22:30:44Z
Singapore (South-Asia),SINGAPORE_Core_Backbone_04,10.45.13.92,Backbone Trunk,3,100,0.35,Operational / Patch Compliant,2026-06-10T07:43:44Z
Ireland (Dublin-East),IRELAND_Core_Backbone_03,10.4.20.156,Backbone Trunk,6,100,0.64,Mitigation Required,2026-06-14T17:36:44Z
US (Virginia-East),US_Edge_Aggregation_05,172.19.30.244,Edge Distribution,12,10,0.28,Operational / Patch Compliant,2026-06-12T16:18:44Z
Ireland (Dublin-East),IRELAND_Core_Backbone_03,172.26.24.49,Backbone Trunk,7,400,0.22,Operational / Patch Compliant,2026-06-08T07:40:44Z
US (Virginia-East),US_Distribution_Layer_01,10.194.98.80,Edge Distribution,12,40,0.36,Operational / Patch Compliant,2026-06-10T18:51:44Z
Germany (Frankfurt-Central),GERMANY_Border_Gateway_01,172.29.43.149,Inter-DC Transit,12,100,0.1,Operational / Patch Compliant,2026-06-08T23:00:44Z
Iceland (Reykjavik-HQ),ICELAND_Border_Gateway_01,10.125.157.42,Inter-DC Transit,22,40,0.45,Operational / Patch Compliant,2026-06-15T03:49:44Z
Japan (Tokyo-North),JAPAN_Edge_Aggregation_01,10.28.132.94,Edge Distribution,7,40,0.17,Operational / Patch Compliant,2026-06-09T22:03:44Z
Ireland (Dublin-East),IRELAND_Edge_Aggregation_02,172.21.58.139,Edge Distribution,21,40,0.17,Operational / Patch Compliant,2026-06-15T04:55:44Z
Germany (Frankfurt-Central),GERMANY_Edge_Aggregation_03,172.21.187.82,Edge Distribution,13,40,0.16,Operational / Patch Compliant,2026-06-11T04:25:44Z
Iceland (Reykjavik-HQ),ICELAND_Core_Backbone_02,172.28.51.84,Backbone Trunk,7,100,0.79,Critical Exposure,2026-06-09T18:01:44Z
Ireland (Dublin-East),IRELAND_Distribution_Layer_02,10.76.194.40,Edge Distribution,10,40,0.33,Operational / Patch Compliant,2026-06-11T14:39:44Z
US (Virginia-East),US_Edge_Aggregation_04,10.58.120.188,Edge Distribution,16,10,0.33,Operational / Patch Compliant,2026-06-08T12:46:44Z
Germany (Frankfurt-Central),GERMANY_Distribution_Layer_01,172.21.147.214,Edge Distribution,16,10,0.45,Operational / Patch Compliant,2026-06-10T17:08:44Z
Ireland (Dublin-East),IRELAND_Core_Backbone_02,172.23.216.134,Backbone Trunk,1,200,0.41,Operational / Patch Compliant,2026-06-08T21:00:44Z
Singapore (South-Asia),SINGAPORE_Core_Backbone_01,10.218.227.105,Backbone Trunk,3,400,0.28,Operational / Patch Compliant,2026-06-15T00:56:44Z
Japan (Tokyo-North),JAPAN_Core_Backbone_03,10.186.225.180,Backbone Trunk,8,400,0.03,Operational / Patch Compliant,2026-06-14T06:33:44Z
Singapore (South-Asia),SINGAPORE_Core_Backbone_02,172.17.194.50,Backbone Trunk,6,400,0.06,Operational / Patch Compliant,2026-06-13T11:30:44Z
Germany (Frankfurt-Central),GERMANY_Core_Backbone_05,10.170.210.131,Backbone Trunk,5,400,0.2,Operational / Patch Compliant,2026-06-09T06:11:44Z
Ireland (Dublin-East),IRELAND_Core_Backbone_05,10.196.144.31,Backbone Trunk,1,400,0.35,Operational / Patch Compliant,2026-06-09T11:54:44Z
Singapore (South-Asia),SINGAPORE_Core_Backbone_01,172.27.196.161,Backbone Trunk,6,100,0.18,Operational / Patch Compliant,2026-06-08T19:34:44Z
Japan (Tokyo-North),JAPAN_Distribution_Layer_04,172.20.106.208,Edge Distribution,8,10,0.03,Operational / Patch Compliant,2026-06-09T14:50:44Z
Singapore (South-Asia),SINGAPORE_Edge_Aggregation_02,10.102.157.52,Edge Distribution,10,10,0.42,Operational / Patch Compliant,2026-06-07T12:02:44Z
Iceland (Reykjavik-HQ),ICELAND_Edge_Aggregation_03,10.156.31.162,Edge Distribution,8,40,0.88,Critical Exposure,2026-06-10T09:23:44Z
